0,1,phone,cluster_id,word
12.260928,1.2477918,,5,
11.544061,1.7382573,,14,
-0.9198098,5.906792,,1,
-16.29713,-5.646092,,4,
-26.55468,3.8038816,,4,
-26.714308,2.8774097,,4,
-31.662813,0.92479,,4,
-33.739902,2.2062209,,4,
-20.691021,2.3581102,,4,
-18.28955,1.8555087,,4,
-20.101522,4.4819794,,4,
-32.22706,3.9732456,,4,
-31.550587,3.922874,,4,
-25.839148,1.5906476,,4,
-27.771366,0.61088103,,4,
-33.558205,-0.7357395,,4,
-32.646408,-0.39368066,,4,
-21.617914,2.4055722,,4,
-19.51394,1.4538925,,4,
-22.345062,-2.4148965,,4,
-21.745253,-0.8278568,,4,
-19.424143,-1.709149,,4,
-25.34064,-3.2883923,,4,
-30.432863,-1.2602943,,4,
-25.887627,-0.53578126,,4,
-31.456364,-1.6956999,,4,
-30.145956,-1.7065217,,4,
-20.872648,-0.47249964,,4,
-21.017586,0.803886,,4,
-17.918974,-0.543935,,4,
-17.389822,-0.7046971,,4,
-23.888084,-2.8440678,,4,
-21.75654,-4.061181,,4,
-20.105448,-5.451192,,4,
10.681235,-4.9595857,,5,
11.243243,-5.255076,,2,
9.880036,-3.6769319,,14,
-9.00216,-8.538576,,10,
-9.191831,-9.188418,,10,
-9.167773,-9.0610695,,10,
-9.06164,-6.4485593,,4,
-8.34305,-2.9424627,,4,
-8.795887,-6.5267944,,8,
-7.3853445,-8.347587,,10,
-7.3477015,-8.329848,,10,
-7.4321175,-4.5217814,,8,
-8.321198,-1.6303436,,4,
9.040621,-4.587725,,5,
9.644921,-5.008228,,5,
8.366018,-4.2424264,,14,
-1.3272117,-5.2182894,,8,
-1.7676193,-5.213845,,8,
-3.407754,-5.056252,,8,
-3.6563706,-4.40437,,8,
-3.445019,-3.7917995,,8,
-5.5133815,-2.1201196,,8,
-1.4925519,-2.6741633,,8,
1.550573,-2.298013,,8,
0.76579493,-2.3060522,,8,
-4.5936303,-2.4805145,,8,
-4.299582,-2.8804579,,8,
-4.0623674,-3.2870872,,8,
-4.7255754,-3.535121,,8,
-5.7734637,-3.5827203,,8,
-6.223807,-2.7506974,,4,
-8.278908,-0.06526836,,4,
-9.770997,0.94042176,,4,
-10.735873,1.2991635,,4,
-10.570705,1.1038553,,4,
-24.586401,-4.459957,,4,
-23.830969,-0.8405642,,4,
-24.409721,1.2407744,,4,
-27.87208,2.6564314,,4,
-34.64847,0.40314615,,4,
-21.905798,6.204242,,4,
